tHFA_A001,Q117,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
Country,Average,1,0.925,1,0.983333333,0.991666667,58,50,67,88,80,95,85,93,63,95,63,95,1,60,100,44,57,41,70,63,76,68,47,91,69,80,57,77,88,98,90,82,79,92,86,64,51,76,51,53,46,30,386,391
PRIMARY,General,1,0.857142857,1,0.968253968,0.984126984,56,46,67,82,63,94,81,89,63,97,46,96,0,60,100,40,57,42,70,63,73,75,41,92,69,78,57,74,83,97,81,75,67,92,84,50,42,58,43,42,44,29,196,254
PRIMARY,PERIURBAN,1,1,1,1,1,61.38888889,43.33333333,79.44444444,100,100,100,100,100,66.66666667,100,,100,0,75,100,40,100,60,72.3493568,66.66666667,100,28.33333333,80,96.44549763,60,75,100,100,100,100,100,100,100,100,100,100,100,100,59.25925926,59.25925926,,,999,78
PRIMARY,RURAL,1,0.892857143,1,0.964285714,0.982142857,55.59771335,45.13418802,66.58356423,83.48214286,64.28571429,96.42857143,83.92857143,89.28571429,63.39506173,97.83018868,31.81818182,95.92592593,0.37037037,59.11363636,100,41.24242424,53.84848485,41.36363636,68.26649865,63.39506173,70.06207482,74.63977273,37.77777778,92.14335402,68.55555556,75.3030303,53.84848485,77.67857143,80.73979592,96.42857143,80,71.42857143,62.96296296,90.90909091,83.63636364,45,35,55,41.69717593,39.74712888,44.07114625,29.96816433,179.5,265.4642857
PRIMARY,URBAN,1,0.5,1,1,1,64.0465368,57.44492544,70.64814815,62.5,50,66.66666667,50,83.33333333,62.5,93.33333333,100,93.33333333,0,62.77777778,100,33.33333333,76.94444444,40.83333333,81.73325778,62.5,93.33333333,81.16666667,66.66666667,88.45965161,83.33333333,100,76.94444444,33.33333333,97.22222222,100,100,100,100,100,83.33333333,60,60,60,48.7654321,48.7654321,,19.80198685,211,173.8333333
SECONDARY,General,1,1,1,1,1,60,53,68,96,98,98,91,98,62,93,75,95,2,61,100,47,58,39,71,62,79,60,52,91,68,83,58,85,94,100,98,91,92,92,91,70,53,87,59,59,68,31,566,508
SECONDARY,PERIURBAN,1,1,1,1,1,60.28931632,51.36419753,69.21443511,91.66666667,100,91.66666667,75,100,62.08333333,98.18181818,100,88.33333333,3.333333333,65.9375,100,66.25,83.75,13.75,67.8903579,62.08333333,71.44721087,41.58384374,60,90.60520462,60,90,83.75,83.33333333,95.23809524,100,100,100,91.66666667,91.66666667,83.33333333,50,27.27272727,72.72727273,64.38746439,64.38746439,,25.96152247,444.0833333,361.25
SECONDARY,RURAL,1,1,1,1,1,60.61410579,54.08789227,67.14031931,96.42857143,96.42857143,100,92.85714286,96.42857143,64.88095238,95,66.66666667,98.57142857,2.142857143,58.4375,100,37.14285714,47.85714286,48.75,72.30920915,64.88095238,80.97589959,71.59969394,47.14285714,92.38251629,67.11538462,85.41666667,47.85714286,88.0952381,92.85714286,100,96.42857143,85.71428571,89.28571429,96.42857143,92.85714286,68.18181818,50,86.36363636,55.63579939,54.67072102,68.18181818,30.97360784,509.6785714,465.75
SECONDARY,URBAN,1,1,1,1,1,59.91831032,51.81603012,68.02059052,100,100,100,100,100,57.43589744,83.07692308,57.14285714,93.84615385,0,62.59615385,100,51.53846154,56.15384615,42.69230769,69.34105958,57.43589744,83.47152259,49.09931541,55.38461538,88.1921491,78.46153846,72.72727273,56.15384615,78.20512821,95.6043956,100,100,92.30769231,100,84.61538462,92.30769231,91.66666667,83.33333333,100,60.96866097,60.96866097,,41.94205607,799.8461538,736.3846154
TERTIARY,General,1,1,1,1,1,65,64,65,81,100,75,75,75,59,94,83,85,0,60,100,60,35,45,71,59,89,50,70,79,74,67,35,29,86,100,100,75,75,100,50,83,100,67,77,77,,,999,999
TERTIARY,URBAN,1,1,1,1,1,64.63388348,64.13203463,65.13573232,81.25,100,75,75,75,59.16666667,93.75,83.33333333,85,0,60,100,60,35,45,70.51577004,59.16666667,88.88888889,50,70,78.8944637,73.75,66.66666667,35,29.16666667,85.71428571,100,100,75,75,100,50,83.33333333,100,66.66666667,76.85185185,76.85185185,,,999,999
